address,model,Cfun,Pvar,Rvar,input_type
0x00674045bb7c17f0aa1cde34780d6c51af548728,ethervm_2,0.0,0.6666666666666666,0.6,ethervm
0x00685230359bdb9e16704e1d3918b553e9a015e2,ethervm_5,0.5,0.75,1.0,ethervm
0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1,ethervm_2,,,,ethervm
0x0286f920f893513c7ec9fe35ba0a4760229a243e,ethervm_3,0.8,0.6666666666666666,0.6666666666666666,ethervm
0x035a401972f228b58dcae76bf318b54ed036d680,ethervm_2,0.75,1.0,1.0,ethervm
0x04f062809b244e37e7fdc21d9409469c989c2342,ethervm_2,,,,ethervm
0x05215fce25902366480696f38c3093e31dbce69a,ethervm_5,0.5,0.21428571428571427,0.3333333333333333,ethervm
0x05461124c86c0ad7c5d8e012e1499fd9109ffb7d,ethervm_2,,,,ethervm
0x072b4b3008eb2177cce628123d24e75a8e34b9b0,ethervm_2,0.8888888888888888,0.5555555555555556,0.7142857142857143,ethervm
0x0a97094c19295e320d5121d72139a150021a2702,ethervm_1,0.14285714285714285,0.0,0.0,ethervm
0x0b7dc5a43ce121b4eaaa41b0f4f43bba47bb8951,ethervm_5,0.5454545454545454,0.75,0.8571428571428571,ethervm
0x0b8d56c26d8cf16fe1bddf4967753503d974de06,ethervm_2,,,,ethervm
0x0efef0b34638addc8833ba729ae20016b5f24ffc,ethervm_2,,,,ethervm
0x112918a54e3ada863cf694970da0756f1eecc68d,ethervm_2,,,,ethervm
0x12d5b7c26dd8dc6e2f71f5bf240d5e76452b2fe5,ethervm_2,,,,ethervm
0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,ethervm_4,0.5714285714285714,0.46153846153846156,0.4,ethervm
0x141044ccc363d6e8d92dd8983422775913e304ec,ethervm_3,,,,ethervm
0x167cb3f2446f829eb327344b66e271d1a7efec9a,ethervm_2,,,,ethervm
0x16a0772b17ae004e6645e0e95bf50ad69498a34e,ethervm_3,0.7,0.8333333333333334,0.625,ethervm
0x18639f44f946983bf3413d9b51322d05c29d269e,ethervm_1,0.625,1.0,1.0,ethervm
0x19c320b43744254ebdbcb1f1bd0e2a3dc08e01dc,ethervm_2,0.42857142857142855,0.22727272727272727,0.3125,ethervm
0x1a94656a6245379bc0d9c64c402197528edb2bd1,ethervm_3,0.4,0.8,0.8,ethervm
0x1bb28e79f2482df6bf60efc7a33365703bcf1536,ethervm_3,1.0,0.0,0.0,ethervm
0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,ethervm_4,0.125,0.2727272727272727,0.75,ethervm
0x1ce865c81e76aafd2003e69acd2d196d19aac144,ethervm_5,0.0,0.0,0.0,ethervm
0x1e143b2588705dfea63a17f2032ca123df995ce0,ethervm_5,,,,ethervm
0x2101e480e22c953b37b9d0fe6551c1354fe705e6,ethervm_3,0.22727272727272727,0.5833333333333334,0.7,ethervm
0x22a97c80d7e0a9ae616737e3b8b531248f4ef91d,ethervm_2,0.0,0.7391304347826086,0.6296296296296297,ethervm
0x22dccfa39dbe59cd3f27e6531b33b5101bb2a70d,ethervm_2,0.2857142857142857,0.21052631578947367,0.36363636363636365,ethervm
0x23ea10cc1e6ebdb499d24e45369a35f43627062f,ethervm_2,,,,ethervm
0x24f0bb6c9b2c3db66603fa0ec07ab0cf55cdd387,ethervm_2,,,,ethervm
0x25a06d4e1f804ce62cf11b091180a5c84980d93a,ethervm_3,0.07692307692307693,0.0,0.0,ethervm
