baselines,imitation_status_output,imitation_status_states,random_status_output,random_status_states,mean_sim
bytecode,0.2677679606668293,0.252782701586943,0.1694894374185714,0.1635036910447377,0.7631408130764065
elipmoc,0.37991607927440196,0.3762249695538555,0.3061003315039302,0.347103036041495,0.7876158450658505
ethervm,0.37131382734100327,0.3533847708557912,0.3004330665936133,0.34404604218345103,0.8219581992880812
panoramix,0.31272558960453734,0.31455679732790354,0.2519980871547131,0.29396767813352925,0.8404529569762769
description_v1111,0.4367547139521622,0.4440077166411976,0.36724503295252425,0.43504184871801194,0.8558622397600658
