address,language,name,is_new,sai,Bytecode_n_sai,Bytecode_sai_coverage,Elipmoc_n_sai,Elipmoc_sai_coverage,SpecDescription_n_sai,SpecDescription_sai_coverage,Bytecode_correct,SpecDescription_correct,Elipmoc_correct,SpecDescription_diff,Reasons,Elipmoc_diff,Bytecode_diff
0x6f95f1ce0c8d0257fe993b2358aca29ea0506943,Solidity,Get1001Voken2,False,"{'STATICCALL': 4, 'SSTORE': 6, 'CALL': 4}",2.0,0.166667,5.0,0.395833,14.0,1.0,,1.0,0.0,fallback,(Rerun)- delegatecall,,
0x48e4562b66df6824811c1171fdf9d5814a5b42ef,Solidity,CustomToken,False,"{'SSTORE': 23, 'CALL': 1}",1.0,0.021739,7.0,0.152174,31.0,1.0,,1.0,0.0,,,,
0x6f303642844f734ad4176d0dfe93ef7e0776ef46,Solidity,CrowdsaleWatch,False,"{'SSTORE': 7, 'CALL': 4}",,-1.0,,-1.0,18.0,1.0,,1.0,0.0,safeWithdrawal-3,(Rerun)- Revert check,,
0x42b9aa7a244b38ef56dff4d2df7e7a7013a59cbf,Solidity,WrapperLockEth,False,"{'SSTORE': 13, 'CALL': 8}",1.0,0.038462,1.0,0.038462,19.0,0.899038,,0.0,,transferFrom,(Model Errors) - Lack conditions,,
0xa04e5b78fbd31caec8f8af126d00a57f56c1f7ae,Solidity,Bank,False,"{'SSTORE': 4, 'CALL': 4}",,-1.0,4.0,0.5,13.0,1.0,,1.0,0.0,,,,
0xf0e3da53ea68e2bb71d5c52c9202c358f40898a0,Solidity,ICO,False,"{'CALL': 3, 'SSTORE': 13}",,-1.0,16.0,1.0,16.0,1.0,,0.0,0.0,openpayout,(Model Errors) - Lack use check conditions,closePayout-1,
0x65b6b495730371a807915441ed337f09d039bc66,Solidity,FundsKeeper,False,"{'CALL': 10, 'SSTORE': 9}",1.0,0.055556,3.0,0.166667,18.0,0.95,,0.0,,,(Model Errors) - Too much conditions - OR,,
0x871df24bcf3a0ba05fded754a2dd4368e9b29145,Solidity,SHT_Token,False,"{'SSTORE': 29, 'CALL': 5}",,-1.0,4.0,0.068966,,-1.0,,0.0,,,,,
0x0b6bc31fe6839ec3b8cfc98819cec7fa64158a8f,Solidity,DeadMansSwitch,False,"{'SSTORE': 7, 'CALL': 1}",1.0,0.071429,8.0,1.0,8.0,0.5,,,1.0,,,,
0x27e06500263d6b27a3f8b7be636aabc7adc186be,Solidity,EasyInvestForeverNeverending,False,"{'SSTORE': 11, 'CALL': 1}",,-1.0,0.0,0.0,,-1.0,,0.0,0.0,fallback-3,To much conditions,,
0xad078f05b048ca1a5025d1943cce35da6bf42aa4,Solidity,Crowdsale,False,"{'SSTORE': 7, 'CALL': 3}",,-1.0,8.0,0.857143,10.0,1.0,,1.0,,safewithdraw,(Rerun)- Revert check,,
0xece36c5d181d368829fe0cab6b90120e4b62889a,Solidity,CustomToken,False,"{'SSTORE': 4, 'CALL': 1}",3.0,0.75,5.0,1.0,9.0,1.0,,0.0,0.0,transfer-1,(Model Errors) - Lack conditions,transfer-1,
0x3f60651303846a417362377910a2a8c5caede024,Solidity,Database,False,"{'SSTORE': 3, 'CALL': 1}",2.0,0.333333,5.0,1.0,4.0,1.0,,0.0,0.0,Store-1,(Model Errors) - Simple but to much conditions,store-1,
0xbd2a43799b83d9d0ff56b85d4c140bce3d1d1c6c,Solidity,UniswapEX,False,"{'SSTORE': 3, 'CALL': 10, 'STATICCALL': 15, 'CREATE2': 1}",4.0,0.333333,,-1.0,2.0,0.124444,,,,,,,
0xb65e16b44a80c9c44addd56a5014cba2814a82d1,Solidity,ARXCrowdsale,False,"{'SSTORE': 25, 'CALL': 3}",1.0,0.02,,-1.0,0.0,0.0,,,,,,,
0xb0fa64ed5b2a4f730fa79b9fe3ac4e2c0c2100a0,Solidity,IMDEXchange,False,"{'SSTORE': 20, 'CALL': 5}",,-1.0,7.0,0.25,12.0,0.525,,0.0,,,(Model Errors) - Too long descriptions - emit,,
0xe64aa1e4301d85ecaccfc15e4af887a1fe6f5f56,Solidity,MiningRig,False,"{'SSTORE': 10, 'CALL': 1}",0.0,0.0,11.0,1.0,,-1.0,,0.0,0.0,,,Cashing,
0x341f9c6c60c07fd11ef0bbc93586a2b9d68bfcf0,Solidity,VINContract,False,"{'SSTORE': 11, 'CALL': 4}",1.0,0.045455,1.0,0.045455,10.0,0.613636,,,,,,,
0xd8f1c224002ce1782a3100793fb1ddc102f4723f,Solidity,PayStation,False,"{'SSTORE': 5, 'CALL': 2}",1.0,0.1,7.0,1.0,9.0,1.0,,1.0,0.0,,(Rerun) - lack a call,invest,
0xc29021a71f3a6c3fd9f361035d748b5f7912f55e,Solidity,EPXCrowdsale,False,"{'SSTORE': 24, 'CALL': 3}",,-1.0,13.0,0.5625,0.0,0.0,,,,,,,
0x0ebb614204e47c09b6c3feb9aaecad8ee060e23e,Solidity,CPAYToken,False,"{'SSTORE': 22, 'CALL': 4, 'SELFDESTRUCT': 1}",,-1.0,2.0,0.030303,,-1.0,,0.0,,,,,
0x8f768f893816df4e0699b1e7460223b9ba321c7b,Solidity,LBSCSale,False,"{'SSTORE': 29, 'CALL': 6}",,-1.0,11.0,0.189655,22.0,0.511494,,0.0,,,(Model Errors) - Too long descriptions - emit,,
0x7a3822a45dd6e6c91cc87012b3059266106e122d,Solidity,Crowdsale,False,"{'SSTORE': 27, 'CALL': 7}",2.0,0.037037,0.0,0.0,9.0,0.272487,,,,,,,
0xfb0f7189b354660e649ae14261a9fe0e8febf369,Solidity,CandyContract,False,"{'SSTORE': 4, 'CALL': 2}",,-1.0,8.0,1.0,15.0,1.0,,1.0,0.0,,(Rerun)- ,fallback,
0xfd326f36bfabe2e195e54c3edab3a094a20758b8,Solidity,Hex2,False,"{'SSTORE': 44, 'CALL': 1}",,-1.0,0.0,0.0,16.0,0.659091,,,,,,,
0x5b8ad60798ec10ad36e52625ff881801240c491a,Solidity,P4,False,"{'SSTORE': 25, 'CALL': 3}",4.0,0.08,1.0,0.02,6.0,0.266667,,,,,,,
0xb012e882c82ef3ca0ce526f2374887b4429a7228,Solidity,PreSale,False,"{'SSTORE': 18, 'CALL': 15}",1.0,0.027778,1.0,0.027778,9.0,0.266667,,,,,,,
0x3d807baa0342b748ec59aa0b01e93f774672f7ac,Solidity,POSC,False,"{'SSTORE': 35, 'CALL': 1}",4.0,0.057143,11.0,0.642857,16.0,0.7,,,,,,,
0x8ecb6d18b2163d955fb9171fec1fb4f9382001bc,Solidity,SalePO8,False,"{'SSTORE': 7, 'STATICCALL': 1, 'CALL': 4}",2.0,0.142857,12.0,1.0,12.0,1.0,,1.0,1.0,setPO8TokenContractAdress-1,,,
0x499197314f9903a1ba9bed7ee54cd9eee5900e49,Solidity,Ethernext,False,"{'CALL': 12, 'SSTORE': 18}",1.0,0.027778,3.0,0.083333,16.0,0.5,,,,,,,
0x3b39fbe86e4a8ee37a4928ee6877a46aaa47ce06,Solidity,NTS165,False,"{'SSTORE': 26, 'CALL': 3}",,-1.0,4.0,0.076923,,-1.0,,0.0,,,Too long descriptions,,
