input_type,address,imitation_status_output,imitation_status_states,random_status_output,random_status_states
ethervm,0x00674045bb7c17f0aa1cde34780d6c51af548728,0.0,0.0,0.0,0.0
ethervm,0x00685230359bdb9e16704e1d3918b553e9a015e2,0.2708885941644562,0.28614058355437666,0.4515915119363395,0.6760610079575596
ethervm,0x0286f920f893513c7ec9fe35ba0a4760229a243e,0.37952808241940844,0.44898637421070126,0.5898969757394483,0.6503821867730143
ethervm,0x035a401972f228b58dcae76bf318b54ed036d680,0.4057971014492754,0.4057971014492754,0.3114862628268785,0.30122476001324067
ethervm,0x05461124c86c0ad7c5d8e012e1499fd9109ffb7d,0.0,0.0,0.0,0.0
ethervm,0x072b4b3008eb2177cce628123d24e75a8e34b9b0,0.8805970149253731,0.7748756218905473,0.6563119629874422,0.7409120951751487
ethervm,0x0a97094c19295e320d5121d72139a150021a2702,0.5819807883405101,0.5839682013911891,0.40642596886386223,0.4402119907254058
ethervm,0x0b7dc5a43ce121b4eaaa41b0f4f43bba47bb8951,0.8243288034471329,0.35697712959893935,0.6208153795160756,0.6012595293337752
ethervm,0x0efef0b34638addc8833ba729ae20016b5f24ffc,0.0,0.0,0.0,0.0
ethervm,0x112918a54e3ada863cf694970da0756f1eecc68d,0.0,0.0,0.0,0.0
ethervm,0x12d5b7c26dd8dc6e2f71f5bf240d5e76452b2fe5,0.0,0.0,0.0,0.0
ethervm,0x167cb3f2446f829eb327344b66e271d1a7efec9a,0.0,0.0,0.0,0.0
ethervm,0x16a0772b17ae004e6645e0e95bf50ad69498a34e,0.7924528301886793,0.6305858987090367,0.49950347567030784,0.48758689175769615
ethervm,0x18639f44f946983bf3413d9b51322d05c29d269e,0.7244355909694555,0.7656042496679947,0.6420982735723771,0.800464807436919
ethervm,0x19c320b43744254ebdbcb1f1bd0e2a3dc08e01dc,0.5478775913129319,0.5873642645607108,0.4554129647910497,0.6291543270812767
ethervm,0x1a94656a6245379bc0d9c64c402197528edb2bd1,0.0,0.0,0.0,0.0
ethervm,0x1bb28e79f2482df6bf60efc7a33365703bcf1536,1.0,1.0,1.0,1.0
ethervm,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,0.8586058804096465,0.7865873802444665,0.6650148662041625,0.6286752560290717
