baselines,n_contract,non_empty,compilable_cnt,empty_code,Cfun,Pvar,Rvar
bytecode,1000,451,441,243,0.06959740882887593,0.057394036035924446,0.20337090830262297
elipmoc,1000,910,772,69,0.5882993589270018,0.6154333802978108,0.6540023268695384
description_v1111,987,961,802,11,0.8054524198983257,0.689695959131785,0.7020470903788257
