baselines,imitation_status_output,imitation_status_states,random_status_output,random_status_states,mean_sim
bytecode,0.22328789838318466,0.21002699232799535,0.14690899728606652,0.1472435680912252,0.7789377281173769
elipmoc,0.4587401627408266,0.45120972063067893,0.39086336919819853,0.48587088453172994,0.8391770300705258
description_v1111,0.5334261921569843,0.5465199147743495,0.513725036639804,0.590267357764531,0.8869601363967758
