input_type,address,mean_sim,time
elipmoc,0x00674045bb7c17f0aa1cde34780d6c51af548728,0.8445687890052795,2
elipmoc,0x00685230359bdb9e16704e1d3918b553e9a015e2,0.8499576449394226,3
elipmoc,0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1,,3
elipmoc,0x0286f920f893513c7ec9fe35ba0a4760229a243e,0.8380745649337769,3
elipmoc,0x035a401972f228b58dcae76bf318b54ed036d680,,3
elipmoc,0x04f062809b244e37e7fdc21d9409469c989c2342,0.9006774425506592,4
elipmoc,0x05215fce25902366480696f38c3093e31dbce69a,,3
elipmoc,0x05461124c86c0ad7c5d8e012e1499fd9109ffb7d,0.8486034274101257,4
elipmoc,0x072b4b3008eb2177cce628123d24e75a8e34b9b0,0.9596033096313475,1
elipmoc,0x0a97094c19295e320d5121d72139a150021a2702,0.8856997489929199,4
elipmoc,0x0ad3227eb47597b566ec138b3afd78cfea752de5,,3
elipmoc,0x0b7dc5a43ce121b4eaaa41b0f4f43bba47bb8951,0.9072232842445374,2
elipmoc,0x0b8d56c26d8cf16fe1bddf4967753503d974de06,,2
elipmoc,0x0efef0b34638addc8833ba729ae20016b5f24ffc,,3
elipmoc,0x0f90ef4e2526e3d1791862574f9fb26a0f39ec86,,3
elipmoc,0x112918a54e3ada863cf694970da0756f1eecc68d,0.995339810848236,3
elipmoc,0x12d5b7c26dd8dc6e2f71f5bf240d5e76452b2fe5,0.8590166568756104,1
elipmoc,0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,0.8575161099433899,5
elipmoc,0x141044ccc363d6e8d92dd8983422775913e304ec,,4
elipmoc,0x167cb3f2446f829eb327344b66e271d1a7efec9a,0.6012214422225952,3
elipmoc,0x16a0772b17ae004e6645e0e95bf50ad69498a34e,0.8871136903762817,5
elipmoc,0x18639f44f946983bf3413d9b51322d05c29d269e,0.8182780742645264,3
elipmoc,0x18a672e11d637fffadccc99b152f4895da069601,,3
elipmoc,0x19c320b43744254ebdbcb1f1bd0e2a3dc08e01dc,,3
elipmoc,0x1a94656a6245379bc0d9c64c402197528edb2bd1,0.8867066502571106,1
elipmoc,0x1bb28e79f2482df6bf60efc7a33365703bcf1536,0.9620679020881652,4
