address,model,status,n_tokens,prompt_tokens,completion_tokens,gen_code,is_empty
0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132,elipmoc_3,1,5655.0,5110.0,545.0,1.0,True
0x0c5876bc9765ee15fc3378100c070453186db8f3,elipmoc_1,1,1655.0,987.0,668.0,1.0,False
0x0c7126b0c7e79c1ea6930bed8499fedb87cd2006,elipmoc_1,1,3088.0,2436.0,652.0,1.0,False
0x0c78735435fbe36b39cccd5fe35fb4590e3da603,elipmoc_3,1,5102.0,4025.0,1077.0,1.0,True
0x0cfda67b0067f1a99deb1cb80e0273a3f26d317c,elipmoc_2,1,3067.0,2460.0,607.0,1.0,False
0x0d5eae179709e92b3bff65731158e8291c49eafb,elipmoc_2,1,4315.0,3471.0,844.0,1.0,False
0x0dc11b7ed751594906bce3a7091952b30528ee7e,elipmoc_2,1,868.0,426.0,442.0,1.0,False
0x0e7c28fb8ed4f5f63aabd022deaeeba40ecc335c,elipmoc_3,1,4619.0,4082.0,537.0,1.0,True
0x0e915b35cc269b2dfc8bbd8e4a88ed4884a53efc,elipmoc_1,1,1767.0,1279.0,488.0,1.0,False
0x0e9e062d7e60c8a6a406488631dae1c5f6db0e7d,elipmoc_4,1,1598.0,1155.0,443.0,1.0,False
0x0ebb614204e47c09b6c3feb9aaecad8ee060e23e,elipmoc_5,1,3577.0,3040.0,537.0,1.0,False
0x0edde4b6f91dbd2efd075ace85ec2e52d0696d44,elipmoc_1,1,3673.0,3205.0,468.0,1.0,False
0x0f1cd99bea68f0d994064395d2b45315b185882e,elipmoc_3,1,1154.0,698.0,456.0,1.0,False
0x0f1d2925c2840f3d15cb6bd1a1f75e1d5de41d90,elipmoc_1,1,5758.0,5180.0,578.0,1.0,False
0x0f33bb20a282a7649c7b3aff644f084a9348e933,elipmoc_1,1,4861.0,4385.0,476.0,1.0,False
0x0f4cafdce3737601c598bcfd4bbd69f75786ba40,elipmoc_3,1,4277.0,3503.0,774.0,1.0,False
0x0f72b988c30a4e4472607703c3363dcfe0f58e0d,elipmoc_3,1,3628.0,3005.0,623.0,1.0,False
0x0fb6ef1d9934eebdd16e760f6485b561c89c5e57,elipmoc_4,1,1084.0,678.0,406.0,1.0,False
0x1054bf40be3e021e26fa5f6d627fe395a3fd3f26,elipmoc_3,1,3564.0,3005.0,559.0,1.0,False
0x12345678979f29ebc99e00bdc5693ddea564ca80,elipmoc_3,1,6436.0,5916.0,520.0,1.0,True
0x124635bfe95ba690fc095f6f3a0bdeac62fab8e1,elipmoc_4,1,1411.0,840.0,571.0,1.0,False
0x1292463b22ed4cb340c737fbc046258fb428f27c,elipmoc_5,1,4507.0,4018.0,489.0,1.0,False
0x1294d23b74c103d0e6d9c8f98abe9383c7900735,elipmoc_4,1,3634.0,3047.0,587.0,1.0,False
0x12b75faf1d0b812fd607c40b4806f40f15405032,elipmoc_4,1,2468.0,1801.0,667.0,1.0,False
0x12d5b7c26dd8dc6e2f71f5bf240d5e76452b2fe5,elipmoc_1,1,3817.0,3330.0,487.0,1.0,False
0x12efb0cc4e3d139a27d35388c640b60cd031a6f7,elipmoc_2,1,1754.0,1277.0,477.0,1.0,False
0x13ca82a039fb510c4110c75a833160dbc8f203e1,elipmoc_3,1,3453.0,2505.0,948.0,1.0,False
0x13f6daa69a85d072ee9302ca37533a4db2c354e8,elipmoc_4,1,713.0,333.0,380.0,1.0,False
0x144106999ff7f2fc278f166975a93d661d885b8f,elipmoc_2,1,4091.0,3719.0,372.0,1.0,False
0x14e2ac9b6ca7bade21afdfa31b63708fc0b08d8f,elipmoc_1,1,1370.0,822.0,548.0,1.0,False
0x14f109d126c58b5bf55cdc51b9bd90b21e6a6de5,elipmoc_5,1,3289.0,2321.0,968.0,1.0,False
0x1543d0f83489e82a1344df6827b23d541f235a50,elipmoc_1,1,3882.0,3278.0,604.0,1.0,False
0x1544f3bcbe71a79c660936b843402eeb44d3a06a,elipmoc_3,1,3066.0,2711.0,355.0,1.0,True
0x155a00d0d74f2efab70bec1b7bcc07ddbaf3e164,elipmoc_1,1,988.0,618.0,370.0,1.0,False
0x15d3122103c5c17ed791fd5a3dba847ecfd6037e,elipmoc_1,1,1513.0,1064.0,449.0,1.0,False
0x16504ea42ffd2bd962108c2ea7cc4fb70106d8a8,elipmoc_4,1,1006.0,462.0,544.0,1.0,False
0x165cff19221424adb30e5daf6319a69890a19183,elipmoc_3,1,895.0,437.0,458.0,1.0,False
0x16c452375d23d49ec94eb0743c7a644a17e48e2e,elipmoc_5,1,3049.0,2423.0,626.0,1.0,False
0x16d29707a5f507f9252ae5b7fc5e86399725c663,elipmoc_3,1,6100.0,5720.0,380.0,1.0,False
0x16d790ad4e33725d44741251f100e635c323beb9,elipmoc_4,1,6421.0,5638.0,783.0,1.0,False
0x16de59092dae5ccf4a1e6439d611fd0653f0bd01,elipmoc_1,1,16095.0,15611.0,484.0,1.0,False
0x1772eea64df54e19728e695008d31c1289ac620d,elipmoc_1,1,3327.0,2825.0,502.0,1.0,False
0x17e5e0910b9185b0ede564dcbf074ca910ad56a4,elipmoc_1,1,1199.0,762.0,437.0,1.0,False
0x17fd666fa0784885fa1afec8ac624d9b7e72b752,elipmoc_3,1,3700.0,2721.0,979.0,1.0,False
0x18293de649fb8d8e1c8824abd214f7480c61e4a4,elipmoc_3,1,3672.0,2783.0,889.0,1.0,False
0x1848edec5c62eafff523386d881ca548b772ff6a,elipmoc_4,1,2842.0,2155.0,687.0,1.0,False
0x18f0cd26c06449d967ca6aef8b5f9d8ee9fd7992,elipmoc_4,1,6135.0,5525.0,610.0,1.0,False
0x191217777cb44c000700fbf76696a098f74c566c,elipmoc_2,1,3167.0,2389.0,778.0,1.0,False
0x1924c657d6a772816601fc5edf78377c23686e95,elipmoc_5,1,3856.0,3284.0,572.0,1.0,False
0x195b6dc3c79185e53d97b443c0769f1d9bd3b7fb,elipmoc_3,1,3382.0,2829.0,553.0,1.0,True
0x19c324ee97bedf04b71d9907102381246d307e65,elipmoc_2,1,4768.0,4176.0,592.0,1.0,False
0x1a099e2d91f537fae5523f57d182ce522aa9780c,elipmoc_1,1,2387.0,1837.0,550.0,1.0,False
0x1a3139caa6c660547d37857a4612b3ceaa41c19f,elipmoc_3,1,1505.0,849.0,656.0,1.0,False
0x1a4874c84516210f989ef9b1488fed041a5c5f9b,elipmoc_3,1,992.0,543.0,449.0,1.0,False
0x1a94656a6245379bc0d9c64c402197528edb2bd1,elipmoc_1,1,4139.0,3623.0,516.0,1.0,False
0x1a9c1c1914a20fe9ae67b25913ffb8227c5cb617,elipmoc_4,1,1450.0,1014.0,436.0,1.0,False
