baselines,n_contract,non_empty,compilable_cnt,empty_code,Cfun,Pvar,Rvar
bytecode,197,105,103,50,0.03206202939155445,0.030418716722434288,0.12651331719128328
elipmoc,197,151,121,43,0.3522406705113751,0.5130889332523594,0.5545528219876525
ethervm,167,142,106,13,0.458991794980749,0.4692532211065253,0.5568846839870867
panoramix,197,130,107,18,0.456599032056591,0.5172291644115015,0.5787452036735362
description_v1111,196,182,139,6,0.6572241369938305,0.582928888175715,0.6069602417330883
